,Project Name,Project Description,City,Local,Project Type,Bid Type,Design Type,Estimator,DEPT,Bid Status, Base Bid 
164,GCH Electrical Cutovers,Hospital Cut Over Review,Glendora, 11 LA , Hospital , Select Bid List , Engineered , Jeff P. , Est. ,Awarded,5000
171,AAA Whittier cubical restack,Refeed new cubical layout,Whittier, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1740
172,"B-Braun Medical, Tustin Warehouse",Charger outlets,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,9749
176,AAA Costa Mesa 6 TV outlets for executive offices,6 new tv outlets in executive offices.,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,11700
178,"B|Braun Medical, HR File Room Conversion",TI (2) new offices,Irvine, 441 OC , TI , Select Bid List , Design/Build , Brian , S.P. ,Awarded,8157
180,(2) new 400 amp service feeders,2 new 400 amp feeders,Los Angeles, 441 OC , TI , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,42450
182,Mission Cancer Center Tenant Improvement,MOB Tenant Improvement,Mission Viejo, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,3574303
187,"B-Braun Medical, PAB Modular Furn Re-work",Re-work existing mod furn,Irvine, 441 OC , TI , Negotiated , Design/Build , Brian , S.P. ,Awarded,2640
191,"B|Bruan Medical, Load Shed ETAP",Install and wire load shed panels,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,327000
192,"B|Braun Medical, Load Study",Load Study Sub A,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,1800
193,AAA Glendora LED parking lot conversion,Convert lights to LED,Glendora, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,9070
194,AAA Temp power For power outage,Temp power for power outage,Irwindale, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3680
195,Olive St TI conduit rough for landlord service,Rework existing conduit and services,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,21825
197,"Load Study RSD7, PSB, PSD",Load Study,Irvine, 441 OC , TI , Negotiated , Design/Build , Brian , S.P. ,Awarded,3600
200,B|Braun Medical 5kv Gear Modifications,Eaton Cad Drawings,Irvine, 441 OC , Industrial , Budget , Engineered , Brian , S.P. ,Awarded,6407
201,Kabafusion new outlet and circuit,New circuit and outlet suite 300,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1520
202,Thales new heater oultets,2 new 60 amp outlets in warehouse,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7597
207,CaliChem Storage Container Power Connections,Power connections for CaliChem,Garden Grove, 441 OC , Comercial , Select Bid List , Engineered , Doyle , S.P. ,Awarded,27000
208,AAA Insurance Area Restack   ,Restack cubicals  ,Huntington Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3680
209,UCLA Health @ the BLOC,MOB Tenant Improvement,Los Angeles, 11 LA , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,1242840
215,"B|Braun Medical, Strobing Beacon Lights",Added strobe beacons at restrooms,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,9729
217,"B|Braun Medical, R&D Lab Cubes",Add (2) new circuits for furniture feeds,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,5907
219,UCI Applied Innovation - TI,Tenant improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Lost,1190780
223,"B-Braun Medical, Cubicles at Engineering",New circuits for modular furniture,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,4576
225,HBC Epson Cabinet Replacemetn,Disconnect and reconnect cabinet power,Long Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2000
226,Ready At Dawn,2nd and 3rd Floor Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Don V , Est. ,Lost,568176
227,Olive St AC conduit work,AC stub extentions roof and TI spaces,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,11948
228,GSLC AC feeder and network raceways,AC feeder and network raceways,Irvine, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,16240
233,Lakeshore Towers Parking Level 5 chargers,Add wire for new chargers,Irvine, 441 OC , Parking Structure , Select Bid List , Engineered , Doyle , S.P. ,Awarded,7873
234,"B|Braun Medical, Raw Materials Beacon",Add Rotating Beacon and Buzzer,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,3381
235,Ladera Sport café outlet and data drop,Add outlet for monitor and data,Ladera Ranch, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1680
236,"B|Braun Medical, 5KV Upgrades Project (Gear Mods)",Furnish and Install Panel Extensions,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,14710
237,Building #14 Core & Shell,Six Story Core & Shell,Santa Ana, 441 OC , Shell , Select Bid List , Engineered , Steve  , Est. ,Awarded,16635400
238,Add outlet and cables for Chad H office,Add outlet and cables ,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3680
242,"B|Braun Medical, Reclamation",Add (2) receptacles for chemical pump,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,3968
243,Kabafusion new circuits for new cubical feeds,Add 3 circuits for 3 cube whips,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3340
244,Remove and reconnect Fire Pump control panel,Electrical work for fire pump control,Vernon, 441 OC , Industrial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3800
250,"B|Braun Medical, Tusin Warehouse",Added outlet for charger,Tustin , 441 OC , Industrial , Select Bid List , Design/Build , Brian , S.P. ,Awarded,3305
251,Blizzard Bldg 16 service call,Service Call for no power to switch,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,500
252,EV service installations,Install 2 new EV services,Carson, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,22500
255,Load Studys for 5 feeders,5 load studies for HBC,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6000
260,OCC machine shop repair transformer ,Repair transformer connect,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,500
261,AAA add two outlets on rack,Add 2 outlets on rack,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2640
268,Restaurant 365,Office Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,Awarded,440985
274,AAA Temp power for outage in Hemet,Temp gen connection in Hemet,Hemet, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2988
287,AAA Newport New outlets,New outlets for cubicals,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,880
297,Hoag Foothill Ranch T.I.,MOB Tenant Improvement,Foothill Ranch, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,1952002
301,Malcom international new beacon install,Install CF beacon on panel,Corona, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1300
307,"B|Braun Medical, Sub-K Load Study",Sub-K Load Study,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,Awarded,1900
308,American Marine 208 volt transformer,Add transformer and disconnect,San Pedro, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5000
309,Aliso Viejo 3 building surveys,Survey 3 buildings for TK1SC,Aliso Viejo, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,14080
310,AAA San Diego Restack,Restack for new cubical config,San Diego, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3085
318,FVRH Panel SPD-H Material procurement,New panel and breaker,Fountain Valley, 441 OC , Hospital , Select Bid List , Design/ Assist , Doyle , S.P. ,Awarded,21400
325,Blizzard B18 & 19 audit,Audit 2 exsiting buildings,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,10500
326,AAA Anaheim Hills Exterior Lighting repair,Repair exterior lights to LED,Anaheim Hills, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,9488
331,Newport Lido power to gate arm and pad,New power and pad for gate arm,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4500
332,AAA Highland cubical restack,Restack cubical area ,Highland, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4922
333,AAA OC HQ move outlet in IDF room,move outlet from 3rd fl to 2nd fl idf,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3993
337,AAA Harbor add power pole 2nd floor,Tap existing circuits and add power pole,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,995
343,College Hospital 4 load studies,4 load studies ,Costa Mesa, 441 OC , Hospital , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4400
345,OCC Watson Hall Leasing Office,Small customer directed TI work,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7600
349,Beach Draperies Suite shift TI,add and move items,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7598
353,Mission Cancer Center 3rd & 4th Floor,MOB TI,Mission Viejo, 441 OC , TI , Select Bid List , Engineered , Steve  , Est. ,Awarded,634432
361,Move oven circuit and change GFCI outlets,Move oven outlet and change outlets,Laguna Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,998
365,Charter TV outlets for Ontario,New power for cubicals,Ontario, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2470
368,Deutsche Santa Ana IR scan,Annual IR scan,Santa Ana, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7990
369,Deutsche LA IR Scan,Annual IR scan,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4100
371,Malcom International pull wire in CF raceway,Pull wire in CF raceway and splice,Corona, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2860
375,Bbraun Integrated interior ,Room expansion,Irvine, 441 OC , TI , Select Bid List , Design/Build , Brian , S.P. ,Awarded,10500
376,Good Shepherd Lutheran Door lock power,Power for door releases,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2580
377,Epson Carson New power for Surepress,New Surepress power,Carson, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,18932
378,Newport Lido 361 Elevator room AC power,Power for AC for elevator room,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2800
380,"B|Braun Medical, Stability Area Basket tray",Install basket tray from stability to IDF,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Brian , S.P. ,Awarded,24983
381,Charter new outlet,New outlet in 8th floor office 110,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,500
387,Espson Long Beach suite 5550 relocate outlets,Remove 5 and relocate 2 receptacles,Long Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1400
