,Project Name,City,Local,Project Type,Bid Type,Design Type,Estimator,DEPT, Base Bid ,Bid Status
95,"Real Com, Suite 910",Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,11939,Awarded
98,Epson Long Beach- 3rd Floor,Long Beach, 11 LA , TI , Select Bid List , Design/Build , Jeff S. , P.M. ,8531,Awarded
99,Kaiser Downey KNAPP,Downey, 11 LA , Industrial , Competitive , Engineered , Randy D. , P.M. ,19800,Lost
100,Thales 400 HZ Upgrade,Irvine, 441 OC , Industrial , Competitive , Engineered , Doyle , Est. ,79897,Lost
101,Northwestern Mutual,Newport Beach, 441 OC , TI , Competitive , Engineered , Jody , Est. ,146485,Lost
102,Chapman A/C panel & LED retro,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,4969,Awarded
103,Roth Capitol TI,Newport Beach, 441 OC , TI , Competitive , Engineered , Doyle , Est. ,303700,Lost
104,Thales Toledo Cube Relocate,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,1984,Lost
105,AAA AO PBX Project Building B,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Frank , Est. ,3527,Awarded
108,City of Hope Waiting Recept Area,Duarte, 11 LA , Hospital , Select Bid List , Engineered , Jody , Est. ,98573,Awarded
109,Choc at Mission NICU Expansion,Mission Viejo, 441 OC , Hospital , Select Bid List , Engineered , Daniel , Est. ,182775,Lost
112,Chpaman Radon Raceways,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,1704,Awarded
114,Hoag HVI Speech and OCC Therapy,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Doyle , Est. ,26454,Awarded
115,Newporrt Lido MCC Upgrade,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,20797,Awarded
116,Orange Coast Memorial Center - Pharmacy Relocation,Fountain Valley, 441 OC , Hospital , Select Bid List , Engineered , Daniel , Est. ,140307,Lost
117,Chapman IT Design Power Upgrade,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,5000,Lost
118,OC Sanitation Pump Replace,Fountain Valley, 441 OC , Industrial , Select Bid List , Engineered , Doyle , Est. ,29888,Lost
119,Epson Long Beach 2nd & 4th floor,Long Beach, 11 LA , TI , Select Bid List , Design/Build , Doyle , Est. ,17490,Awarded
120,Pacific Life Ground Level SE Quad,Newport Beach, 441 OC , TI , Competitive , Engineered , Frank , Est. ,124572,Lost
121,Pacific Life 4th Floor New Offices,Newport Beach, 441 OC , TI , Competitive , Engineered , Frank , Est. ,23572,Lost
122,Chapman Smith AC power,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,7388,Awarded
124,Hoag HVI,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,2162090,Awarded
125,Chevron Hawes and Sowers Solar,Huntington Beach, 441 OC , Specialty , Select Bid List , Engineered , Doyle , Est. ,226720,Awarded
126,Rubber Craft Equipment Relo,Long Beach, 11 LA , Comercial , Select Bid List , Engineered , Frank , Est. ,109598,Awarded
128,"JPL Replace Electrical Busducts, Building 183",Pasadena, 11 LA , Specialty , Select Bid List , Engineered , Jody , Est. ,1643000,Lost
129,Hersey & Sutton Von Karman Suite 1060,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,16460,Awarded
132,Hyundai Corp Campus Budget,Fountain Valley, 441 OC , Shell , Budget , Engineered , Doyle , Est. ,5210150,Lost
133,Thales RF Filter Replacement,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,3200,Awarded
134,Rancho San Diego Sherrif Station,Lemon Grove, 441 OC , Comercial , Competitive , Design/Build , Frank , Est. ,1430532,Lost
135,Thales Inovation Room A/C unit,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,1430,Awarded
139,St Margarets Phase 2 Cable,San Juan Capo, 441 OC , Site , Select Bid List , Engineered , Frank , Est. ,132900,Lost
141,Brocade,Irvine, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,82590,Lost
143,Time Warner TI,Cerritos, 441 OC , TI , Competitive , Engineered , Doyle , Est. ,68357,Awarded
144,Coca Cola Downey - Syrup Room,Downey, 11 LA , TI , Competitive , Engineered , Jody , Est. ,187992,Lost
146,18301 Von Karman Suite 600,Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,11748,Lost
147,18301 Von Karman Suites 410 & 420,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,23112,Lost
148,18301 Von Karman Suites 270 & 280,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,27788,Lost
149,Thales Theater Room,Irvine, 441 OC , TI , Competitive , Engineered , Doyle , Est. ,23270,Awarded
150,LAX Tower Crane Aircraft Lighting Correction,Los Angeles, 11 LA , Specialty , Select Bid List , Design/Build , Frank , Est. ,9131,Awarded
151,Hoag Blood Donor,Newport Beach, 441 OC , Hospital , Select Bid List , Design/Build , Bill , P.M. ,6194,Lost
152,Epson Exhaust Fan,Long Beach, 441 OC , TI , Competitive , Engineered , Doyle , Est. ,3296,Awarded
153,Chevron Sowers Infill Project,Huntington Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,1950,Awarded
154,Kaiser Fire Alarm and Nurse Call,Moreno Valley, 441 OC , Hospital , Select Bid List , Engineered , Jody , Est. ,2514740,Lost
155,Thales Modular reconfiguration,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,5997,Awarded
156,San Diego Solar Support Buildings,San Diego, 441 OC , Comercial , Budget , Design/Build , Doyle , Est. ,422010,Lost
157,Hoag Cancer Center Air Handler Upgrade - Nalar,Newport Beach, 441 OC , Hospital , Select Bid List , Design/Build , Bill , P.M. ,6117,Awarded
161,BBraun Boiler Addition Controls,Irvine, 441 OC , Comercial , Select Bid List , Engineered , Doyle , Est. ,24985,Awarded
163,Cal Optima,Orange, 441 OC , TI , Competitive , Engineered , Daniel , Est. ,2160000,Lost
166,Thales 8 new power plates,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,26580,Awarded
167,ASM- Anaheim,Anaheim, 441 OC , Comercial , Competitive , Engineered , Jeff S. , P.M. ,10725,Lost
168,Bio Rad Temp Generator Support,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Frank , Est. ,16314,Awarded
170,Rapid Rack Buss Duct,City of Industry, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , Est. ,25000,Lost
171,Dr. Fresh Tenant Improvement,Buena Park , 441 OC , Comercial , Select Bid List , Engineered , Frank , Est. ,67872,Lost
172,"18301 VK 2nd, 3rd, 7th and 8th Floor restroom remodel",Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,68689,Awarded
173,Thales Software Engineering Remodel,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,8440,Awarded
174,OCC Welding Remodel,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,130000,Lost
175,Saber Foundation Office TI,Lake Elsinore, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,25000,Lost
176,SCE GO 5,Rosemead, 441 OC , Specialty , Negotiated , Design/ Assist , Frank , Est. ,8064,Awarded
177,Costco Huntington Beach,Huntington Beach, 441 OC , TI , Select Bid List , Design/Build , Daniel , Est. ,1157984,Lost
179,Newport Lido Security Lights,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,2250,Awarded
180,Chapman Panther Pool,Orange, 441 OC , TI , Select Bid List , Engineered , Doyle , Est. ,60000,Awarded
181,"Amada, Brea",Brea, 441 OC , Industrial , Competitive , Design/Build , Frank , Est. ,2667383,Lost
182,Hoag Power Plant/Generator Bldg Fire Alarm Replacement,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Jody , Est. ,14914,Awarded
184,Lido 10 new egress lights for cooridors,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,4160,Awarded
189,18301 VK 3rd  Floor Common,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,15546,Awarded
190,18301 4th Flr Common Area,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,16161,Awarded
192,Baxter Building 1 Alterations,Los Angeles, 11 LA , TI , Competitive , Engineered , Frank , Est. ,59655,Awarded
194,Newport Lido Basement TI,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,27967,Awarded
195,Zodiac TI,Vista, 441 OC , TI , Competitive , Engineered , Daniel , Est. ,247550,Lost
196,18301 Suite 705,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,6301,Awarded
197,Hoag 3rd floor NeuroSciences Raceway sleeves,Newport Beach, 441 OC , Hospital , Competitive , Design/Build , Doyle , Est. ,43746,Awarded
200,Hoag Cancer Center Chiller Removal,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Daniel , Est. ,9925,Awarded
201,Baxter B5 Delta V Server Rm HVAC,Los Angeles, 11 LA , TI , Budget , Design/Build , Frank , Est. ,18028,Awarded
202,Thales Space Modify 90 Discovery,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,3000,Awarded
204,Noewport Lido 800 amp service,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,36620,Lost
0,AEG Staples 2nd floor,Los Angeles, 441 OC , TI , Competitive , Design/Build , Frank , Est. ,119440,Lost
1,3880 Kilroy TI,Long Beach , 11 LA , TI , Select Bid List , Engineered , Daniel , Est. ,492900,Awarded
2,Cal Optima Garden Grove,Garden Grove, 441 OC , TI , Competitive , Engineered , Daniel , Est. ,520000,Lost
3,CVS / Pharmacy Distribution Facility,La Habra, 441 OC , TI , Competitive , Engineered , Jody , Est. ,1899000,Lost
4,18301 Von Karman Lobby Remodel,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,10324,Awarded
5,Thales Engineering Office Cube Renovation,Irvine, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,14170,Awarded
6,URM Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,37389,Lost
7,Fortus/Faris Lee Demo,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,8549,Lost
9,UCLA - Care Connect,Los Angeles, 441 OC , TI , Competitive , Engineered , Frank , Est. ,166470,Awarded
11,Covidien / ev3 Neurovascular,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,152634,Lost
12,Chapman floor outlets for Kennedy,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,16800,Lost
14,Chapman Library LED recess can retrofit,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , Est. ,83875,Lost
15,GSA 4000 Metropolitan - Orange,Orange, 441 OC , TI , Competitive , Engineered , Daniel , Est. ,2485700,Lost
16,Hoag Hospital Irvine - Door Replacements,Irvine, 441 OC , Hospital , Select Bid List , Design/ Assist , Jody , Est. ,25220,Awarded
18,3M Dental EC Room Outlets,Irvine, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,3463,Awarded
19,Providence Seismic Instrumentation,Los Angeles, 11 LA , Hospital , Select Bid List , Design/ Assist , Doyle , Est. ,203306,Lost
20,Braun Insertion Meter,Irvine, 441 OC , Industrial , Negotiated , Design/Build , Doyle , Est. ,1500,Lost
21,Pacific Life Employement Remodel,Newport Beach, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,21770,Awarded
22,3M Dental Packaging Room ,Irvine, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,8166,Awarded
23,Lido Basement corridor and lobby design,Newport Beach, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,2500,Lost
25,Bio Rad Phase 1A,Irvine, 441 OC , TI , Select Bid List , Engineered , Frank , Est. ,205263,Awarded
26,Chapman new roof panel for Moulton,Orange, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,4404,Lost
27,Chapman Relamp Memorial Auditorium,Orange, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,4795,Lost
28,Chapman Move PA Rack in Hutton,Orange, 441 OC , TI , Negotiated , Design/Build , Doyle , Est. ,2850,Lost
30,Hoag Hospital HVI - Site Improvements Project,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Daniel , Est. ,190110,Lost
32,1580 Sunflower Service Relocation,Costa Mesa, 441 OC , Comercial , Select Bid List , Engineered , Jeff P. , Est. ,33682,Lost
33,Granada Plaza Building B,Tustin, 441 OC , Comercial , Select Bid List , Engineered , Jeff P. , Est. ,397400,Lost
35,HOAG 4 Story Bldg EM Stairwell Lighting,Newport Beach, 441 OC , Hospital , Budget , Engineered , Bill , P.M. ,19800,Awarded
36,Fortus / Faris Lee Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,274096,Lost
37,Main Electric Supply,Santa Ana, 441 OC , TI , Competitive , Engineered , Jeff P. , Est. ,280000,Lost
39,Giliad 650 Cayston Fill Line,San Dimas, 11 LA , Specialty , Competitive , Engineered , Frank , Est. ,372200,Lost
40,Bio Rad Phase 1B,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,57798,Lost
41,Bio Rad Freeze Dryers,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,33043,Lost
42,Deutsche UPS Replacemet,Santa Ana, 441 OC , Specialty , Competitive , Engineered , Dan , P.M. ,146172,Awarded
43,BSH Showroom,Irvine, 441 OC , TI , Competitive , Engineered , Jeff P. , Est. ,719000,Lost
44,Pacific Life 2nd Floor Tenant Improvement,Newport Beach, 441 OC , TI , Competitive , Engineered , Frank , Est. ,411391,Lost
45,Hoag Robotic Pharmacy Packaging,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Jeff P. , Est. ,95420,Awarded
46,KBI Newport Beach T.I. Budget,Newport Beach, 441 OC , TI , Budget , Design/Build , Frank , Est. ,11077,Lost
47,"Baxter Air Curtains, Van Nuys",Van Nuys, 11 LA , TI , Negotiated , Design/Build , Frank , Est. ,15582,Lost
48,Baxter Tear Down LN2 Exhaust,Los Angeles, 11 LA , Industrial , Negotiated , Design/Build , Frank , Est. ,22237,Awarded
51,Baxter Freezer Dryer 14 Upgrade,Los Angeles, 11 LA , Industrial , Budget , Design/Build , Frank , Est. ,116944,Lost
55,Pacific Life Ground Level NW quad,Newport Beach, 441 OC , TI , Competitive , Engineered , Frank , Est. ,26436,Awarded
56,Coastal Fertility Clenic,Irvine, 441 OC , TI , Competitive , Engineered , Daniel , Est. ,249600,Lost
57,Kaiser MOB Foothhill Ranch,Foothill Ranch, 441 OC , Comercial , Select Bid List , Engineered , Jeff P. , Est. ,1056519,Awarded
61,UCLA Suite 850,Los Angeles, 11 LA , TI , Budget , Design/Build , Frank , Est. ,7735,Lost
62,Rancho Springs Medical Center - Imaging Center,Murrieta, 440 RS , TI , Competitive , Engineered , Daniel , Est. ,272210,Lost
65,Meggit,Northridge, 11 LA , TI , Budget , Design/ Assist , Frank , Est. ,3254910,Lost
66,Hoag 10 West sub ICU Relocation,Newport Beach, 441 OC , Hospital , Negotiated , Engineered , Jeff P. , Est. ,13325,Awarded
69,Space X Oven Building Power,Hawthorne, 11 LA , Industrial , Select Bid List , Engineered , Frank , Est. ,348142,Awarded
70,Hoag Expanded CDC day use room,Newport Beach, 441 OC , Hospital , Select Bid List , Design/Build , Bill , P.M. ,7650,Awarded
71,Chafey Community College,Rancho Cucamonga, 477 SB , Specialty , Select Bid List , Engineered , Jody , Est. ,544945,Lost
72,Hoag Irvine Elevator Modernization,Irvine, 441 OC , Hospital , Negotiated , Engineered , Jeff P. , Est. ,46490,Awarded
73,Ball Industties Dock Doors,Commerce, 11 LA , Comercial , Negotiated , Design/Build , Jeff P. , Est. ,56880,Lost
74,UHG 17900 Von Karman,Irvine, 441 OC , TI , Competitive , Engineered , Jeff P. , Est. ,313600,Lost
75,Young's Market Express T.I.,Tustin, 441 OC , TI , Competitive , Engineered , Frank , Est. ,66700,Awarded
76,18301 Spec Suite 580 & 810,Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,22554,Lost
77,Hoag West Tower 9th and 10th Floor FA Upgrade,Newport Beach, 441 OC , TI , Negotiated , Engineered , Jeff P. , Est. ,13770,Awarded
78,Baxter Room 340 Air Lock,Los Angeles, 11 LA , TI , Negotiated , Design/Build , Frank , Est. ,7047,Awarded
79,Baxter Shutdown 2012 Maintenance,Los Angeles, 11 LA , Specialty , Negotiated , Design/Build , Frank , Est. ,15350,Awarded
80,Young's Market Co. Print and Copier Rooms,Tustin, 441 OC , TI , Negotiated , Engineered , Frank , Est. ,4138,Awarded
84,Providence LCM San Pedro Seismic Monitoring,San Pedro, 11 LA , Hospital , Select Bid List , Engineered , Frank , Est. ,257528,Lost
85,Baxter Cameras Shut Down 2012,Los Angeles, 11 LA , Specialty , Negotiated , Design/Build , Frank , Est. ,18086,Awarded
86,Remove & Relocate equipment in Nano Fill ,Los Angeles, 11 LA , Specialty , Negotiated , Design/Build , Frank , Est. ,6757,Awarded
87,Bio Rad 9 Holland,Irvine, 441 OC , TI , Budget , Design/Build , Frank , Est. ,1954566,Lost
88,Black & Rose Suite 300,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,18637,Lost
89,Kaiser Corona AH Replacement,Corona, 440 RS , TI , Competitive , Engineered , Frank , Est. ,56769,Lost
91,High Desert Government Center PSOC,Hisperia, 440 RS , Comercial , Public Works , Engineered , Jeff P. , Est. ,3998000,Lost
92,County of LA Radio Tower Grounding Survey,Los Angeles, 11 LA , Specialty , Negotiated , Engineered , Jeff P. , Est. ,28850,Lost
94,"Quest Diagnostic, San Clemente",San Clement, 441 OC , TI , Budget , Design/ Assist , Frank , Est. ,128137,Awarded
95,Hoag South Entry TI,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Jeff P. , Est. ,373900,Lost
96,UCI Hospital Security,Orange, 441 OC , Hospital , Negotiated , Design/ Assist , Jeff P. , Est. ,22750,Awarded
97,Prolacta Bioscience,City of Industry, 11 LA , TI , Budget , Design/Build , Frank , Est. ,719557,Lost
98,Baxter APD CWFI Upgrades,Los Angeles, 11 LA , Industrial , Negotiated , Design/Build , Frank , Est. ,2489,Awarded
99,Hoag Cancer Center FA,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Jeff P. , Est. ,250900,Lost
100,"South West Gas, Big Bear",Big Bear Lake, 441 OC , Comercial , Select Bid List , Engineered , Frank , Est. ,501106,Lost
101,Hoag 10 West Sub ICU Hemodialysis,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Jeff P. , Est. ,83250,Awarded
102,Hoag CPOE,Newport Beach, 441 OC , Hospital , Negotiated , Design/Build , Jeff P. , Est. ,50000,Awarded
104,Downtown Disney Bulding G,Anaheim, 441 OC , TI , Select Bid List , Engineered , Daniel , Est. ,105520,Lost
106,CSMC-AHSP-Satelite Serile Processing,Los Angeles, 11 LA , Hospital , Competitive , Engineered , Frank , Est. ,142030,Awarded
107,"UC Irvine Medical Center Building 63, 2nd Floor TI",Orange, 441 OC , Comercial , Competitive , Engineered , Jody , Est. ,218443,Lost
108,"Lenny Ley, Inc. T.I.",Newport Beach, 441 OC , TI , Competitive , Design/Build , Frank , Est. ,7703,Lost
109,Baxter Open Office,Los Angeles, 11 LA , TI , Negotiated , Design/Build , Frank , Est. ,11786,Lost
111,Hoag North Tower FA Device Replacement,Newport Beach, 441 OC , Hospital , Negotiated , Engineered , Jeff P. , Est. ,263730,Awarded
112,Hoag Sonic Irrigation,Newport Beach, 441 OC , Hospital , Budget , Engineered , Bill , P.M. ,6573,Awarded
113,Hoag Irvine Elevator Modernization Fire Alarm,Irvine, 441 OC , Hospital , Competitive , Engineered , Bill , P.M. ,8114,Awarded
114,Internation Rubber Products Inc. Relocation,San Clemente, 441 OC , TI , Negotiated , Design/Build , Jody , Est. ,16492,Lost
115,Pacific Life Copy Center/Dirty Room Remodel,Newport Beach, 441 OC , TI , Competitive , Design/Build , Jody , Est. ,41212,Awarded
117,Mater Dei HS Aquatic Building,Santa Ana, 441 OC , Comercial , Competitive , Engineered , Jody , Est. ,71925,Lost
119,B-Braun Substation A Replacement,Irvine, 441 OC , Comercial , Competitive , Design/Build , Daniel , Est. ,133084,Awarded
120,Hoag West Tower Outlet Additions in Corridors ,Newport Beach, 441 OC , Hospital , Negotiated , Design/Build , Jeff P. , Est. ,29630,Awarded
121,UCI School of Business Building Unit 2,Irvine, 441 OC , TI , Negotiated , Design/Build , Frank , Est. ,2423660,Lost
